SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
K7V,67.0,4070,0.1047,0.654,0.63,7.18,-0.95,8.15,1.330,-1.506,0.595,1.71,0.87,7.58,,1.221,0.806,1.529,3.330,0.617,0.162,0.057,,,,5.60,4.82,,
K8V,68.0,4000,0.079432823472,0.587,0.59,7.44,-1.03,8.47,1.380,-1.562,0.628,1.72,0.88,7.84,,1.216,0.843,1.632,3.487,0.623,0.176,0.081,,,,5.78,4.98,,
K9V,69.0,3940,0.066069344801,0.552,0.56,7.59,-1.10,8.69,1.420,-1.593,0.69,1.78,0.90,8.00,,1.210,0.866,1.699,3.584,0.625,0.184,0.101,,,,5.92,5.11,,
M0V,70.0,3870,0.063095734448,0.559,0.55,7.75,-1.16,8.91,1.408,-1.623,0.65,1.84,0.92,8.26,,1.204,0.889,1.766,3.680,0.626,0.193,0.122,,,,6.04,5.22,0.33,
M0.5V,70.5,3800,0.053703179637,0.535,0.54,7.90,-1.38,9.20,1.441,-,0.74,1.97,0.96,8.46,,1.184,0.924,1.886,3.84,0.620,0.208,0.130,,,,6.19,5.36,0.37,
M1V,71.0,3700,0.039810717055,0.496,0.49,8.25,-1.44,9.69,1.475,-,0.82,2.09,1.01,8.87,,1.172,0.959,2.019,4.02,0.613,0.225,0.137,,,,6.51,5.67,0.41,
M1.5V,71.5,3650,0.033884415614,0.460,0.47,8.40,-1.57,9.97,1.486,-,0.85,2.14,1.03,9.12,,1.170,0.978,2.089,4.12,0.607,0.228,0.105,,,,6.69,5.85,0.47,
M2V,72.0,3550,0.026915348039,0.434,0.44,8.65,-1.65,10.30,1.500,-,0.92,2.25,1.06,9.38,,1.170,1.001,2.173,4.24,0.600,0.234,0.110,,,,6.89,6.06,0.53,
M2.5V,72.5,3500,0.020892961309,0.393,0.40,8.94,-1.76,10.70,1.522,-,1.02,2.39,1.10,9.68,,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,7.01,6.27,0.57,
M3V,73.0,3410,0.016595869074,0.369,0.36,9.17,-1.97,11.14,1.544,-,1.09,2.49,1.121,0.05,,1.181,1.079,2.420,4.60,0.579,0.252,0.122,,,,7.40,6.54,0.61,
M3.5V,73.5,3250,0.008511380382,0.291,0.26,9.92,-2.27,12.19,1.602,-,1.29,2.71,1.171,0.90,,1.200,1.178,2.680,5.00,0.558,0.269,0.132,,,,8.02,7.19,0.66,
M4V,74.0,3200,0.006309573445,0.258,0.22,10.21,-2.59,12.80,1.661,-,1.41,2.95,1.241,1.39,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,8.39,7.55,0.71,
M4.5V,74.5,3100,0.004897788194,0.243,0.18,10.52,-3.05,13.57,1.72,-,1.55,3.13,1.271,2.02,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,8.79,7.93,0.81,
